run_id,grid_string_id,step,window_size,prefix,confidence,predicted,actual,is_correct,sim_win_rate_pct
3fed7a4f-5725-4e59-abf0-008858c12588,3512,9,9,bpbbbppb,51.64075993091537,p,p,1,40.90909090909091
3fed7a4f-5725-4e59-abf0-008858c12588,3512,10,9,pbbbppbp,52.244165170556556,b,p,0,42.10526315789474
3fed7a4f-5725-4e59-abf0-008858c12588,3512,12,9,pbppbpbb,51.14942528735632,p,p,1,45.45454545454545
3fed7a4f-5725-4e59-abf0-008858c12588,3512,14,9,pbpbbppp,54.96323529411765,b,p,0,33.333333333333336
3fed7a4f-5725-4e59-abf0-008858c12588,3512,15,9,bpbbpppp,51.85909980430529,b,p,0,37.93103448275862
3fed7a4f-5725-4e59-abf0-008858c12588,3512,16,9,pbbppppp,50.103092783505154,b,p,0,43.47826086956522
3fed7a4f-5725-4e59-abf0-008858c12588,3512,17,9,bppppppp,51.21951219512195,b,b,1,40.0
3fed7a4f-5725-4e59-abf0-008858c12588,3512,18,9,pbbbpbbp,51.58597662771286,b,b,1,52.54237288135593
3fed7a4f-5725-4e59-abf0-008858c12588,3513,1,9,pbppppbp,52.30460921843687,b,b,1,40.0
3fed7a4f-5725-4e59-abf0-008858c12588,3513,2,9,bppppbpb,52.25225225225225,b,p,0,53.44827586206897
3fed7a4f-5725-4e59-abf0-008858c12588,3513,4,9,bpbppbpp,50.09671179883946,b,b,1,44.827586206896555
3fed7a4f-5725-4e59-abf0-008858c12588,3513,5,9,pbppbppb,54.24710424710425,b,p,0,46.42857142857143
3fed7a4f-5725-4e59-abf0-008858c12588,3513,7,9,pbppbppb,54.24710424710425,b,b,1,46.42857142857143
3fed7a4f-5725-4e59-abf0-008858c12588,3513,9,9,pbppbbpp,53.00546448087432,b,p,0,41.935483870967744
3fed7a4f-5725-4e59-abf0-008858c12588,3513,10,9,bppbbppp,53.663003663003664,b,p,0,26.666666666666668
3fed7a4f-5725-4e59-abf0-008858c12588,3513,11,9,pbbppppp,50.103092783505154,b,b,1,43.47826086956522
3fed7a4f-5725-4e59-abf0-008858c12588,3513,12,9,bpppppbb,52.26824457593688,p,p,1,48.148148148148145
3fed7a4f-5725-4e59-abf0-008858c12588,3513,13,9,pbbpbpbp,51.02739726027398,p,p,1,30.76923076923077
